8426	[102, 99]
204028	[0]
15605	[108]
20640	[147]
20912	[86]
28917	[1723]
41811	[544]
49835	[342]
6720	[69]
262750	[25]
52863	[33]
48526	[0, 58]
8781	[7]
42541	[739]
6082	[267]
12779	[43, 174, 169]
10102	[0]
11666	[126]
57821	[339]
1836	[0, 1138]
262612	[8]
29691	[0]
3257	[195, 236, 207, 251]
13004	[115]
63956	[0]
53070	[31]
393406	[879]
38809	[139]
19151	[159, 159, 150]
286	[797]
1798	[151]
2914	[756, 335, 388, 0, 390, 419, 384, 391]
58621	[24]
59715	[0]
202194	[0]
38883	[0]
38880	[333, 473]
59469	[0]
41497	[228]
20764	[186, 159]
14061	[711, 589]
29686	[532]
4739	[184]
2497	[0, 154, 52, 145]
53828	[159]
56730	[834]
19653	[161]
262757	[14]
200130	[503]
33437	[376, 371]
37100	[653]
26162	[28, 28, 28, 28]
43100	[144]
20612	[0, 0]
8928	[994]
198290	[679]
29608	[148]
57463	[182]
20932	[101]
57118	[0]
5396	[151]
701	[54]
12859	[755, 881]
3277	[32]
6453	[203]
15435	[137]
197264	[0]
202109	[596, 519]
5769	[162]
9304	[441]
37989	[20]
53001	[28]
58308	[162]
30844	[183]
5413	[46, 175]
1853	[152]
6667	[1045, 1055, 1055]
11039	[490]
53364	[216]
52888	[158]
29636	[408]
196621	[0]
198249	[0]
8758	[675, 0]
22652	[280]
58901	[0]
31122	[144, 170]
1239	[113]
3741	[448]
48166	[157]
8455	[269]
18106	[66]
9002	[871, 994, 940, 837]
36236	[0]
6939	[308, 483, 399, 381, 702, 503, 447, 324, 419, 814, 425, 419]
51185	[154]
52720	[52]
29140	[1085]
30071	[266, 268]
28329	[34, 66]
133165	[35]
513	[0]
13030	[879, 2104, 999, 1199, 1024, 1173, 787]
13237	[940]
8283	[343]
22548	[18]
8218	[981, 0, 720]
6830	[756, 811, 736, 834]
40191	[651]
31019	[984, 657]
4181	[3027]
262317	[32]
7018	[538]
10026	[173]
251	[771]
25220	[675]
59689	[658]
4826	[157]
24516	[0, 0, 0, 0]
6762	[303, 355, 487]
202032	[0, 393]
34224	[137]
8596	[160]
46450	[113]
16735	[573]
35369	[271]
34288	[1228, 0, 1219, 0]
32614	[152]
41695	[451]
20080	[590]
15547	[0, 795, 795, 322]
16347	[141]
6881	[127]
38726	[0, 0]
12637	[924]
202018	[438]
1916	[174]
47872	[857, 693]
28571	[210]
50763	[81]
51405	[65]
31424	[0]
2518	[0]
1103	[1085]
13703	[81]
2516	[155]
25152	[372, 194]
553	[149]
52610	[30]
32354	[159]
62567	[886, 661]
54073	[470]
5645	[305]
9189	[150]
25091	[437, 79, 434, 0]
7575	[697, 0, 623]
58511	[1692, 4, 2, 1692]
42708	[167]
264268	[22]
50300	[175]
15301	[599]
50304	[123]
29075	[154]
28941	[107]
50620	[252]
2500	[401]
34019	[143]
28294	[114]
209	[294, 232, 259]
14840	[178]
1273	[501]
34781	[0, 866]
52769	[27, 34]
25160	[202]
3356	[164, 157]
2857	[147]
7660	[60]
24482	[260, 946, 0, 0, 882, 905, 1070, 905]
262607	[44]
45896	[2]
1280	[258]
49463	[942]
37271	[342]
34146	[0]
4589	[488, 409]
8763	[202]
680	[150]
57381	[13]
