8426	[2, 0]
204028	[0]
15605	[1]
20640	[0]
20912	[0]
28917	[0]
3491	[0]
41811	[0]
49835	[0]
6720	[41]
262750	[0]
52863	[0]
48526	[0, 1]
8781	[3]
42541	[0]
6082	[0]
12779	[1, 0]
10102	[0]
11666	[5]
57821	[0]
1836	[0, 0]
262612	[0]
29691	[0]
3257	[3, 0, 4, 2]
13004	[1]
63956	[0]
1299	[0, 0]
53070	[0]
393406	[0]
38809	[0]
19151	[1, 0, 0]
286	[0]
1798	[0]
2914	[0, 0, 26792, 0, 26498, 26750, 0, 26458]
58621	[0]
59715	[0]
202194	[0]
38883	[0]
2857	[45]
59469	[0]
41497	[0]
20764	[0, 0]
14061	[0, 0]
29686	[0]
4739	[0]
2497	[0, 0, 0, 0]
53828	[0]
56730	[0]
262757	[0]
200130	[0]
33437	[4, 0]
37100	[0]
26162	[0, 0, 0, 0]
43100	[1]
20612	[0, 0]
8928	[0]
198290	[1]
29608	[0]
57463	[0]
20932	[0]
57118	[0]
5396	[0]
701	[0]
12859	[0, 0]
3277	[9]
6453	[0]
15435	[0]
197264	[0]
202109	[0, 0]
5769	[1]
9304	[0]
53001	[0]
58308	[1]
30844	[0]
5413	[0, 0]
1853	[0]
6667	[0, 0, 0]
11039	[5]
53364	[0]
52888	[0]
29636	[0]
196621	[0]
198249	[0]
8758	[0, 0]
22652	[0]
58901	[0]
31122	[1, 0]
1239	[0]
3741	[0]
48166	[0]
8455	[0]
52720	[0]
9002	[0, 0, 0, 0]
36236	[0]
6939	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
51185	[0]
18106	[0]
29140	[0]
30071	[0, 0]
28329	[0, 0]
133165	[0]
513	[0]
13030	[0, 0, 0, 0, 0, 0, 0]
13237	[0]
8283	[0]
22548	[0]
8218	[2, 0, 1]
6830	[4, 5, 0, 0]
40191	[0]
31019	[829, 584]
4181	[0]
262317	[0]
7018	[0]
10026	[0]
251	[0]
25220	[0]
59689	[1]
4826	[0]
24516	[0, 0, 0, 0]
6762	[0, 0, 0]
202032	[0, 0]
34224	[0]
8596	[0]
16735	[14]
35369	[34]
34288	[0, 0, 0, 1]
41695	[0]
20080	[0]
15547	[0, 0, 0, 1]
16347	[1]
6881	[0]
38726	[0, 0]
12637	[0]
202018	[0]
1916	[0]
47872	[0, 0]
28571	[0]
50763	[2]
51405	[1]
31424	[0]
2518	[0]
1103	[0]
13703	[0]
2516	[0]
25152	[0, 30]
553	[0]
52610	[2]
32354	[0]
62567	[0, 0]
54073	[0]
9189	[1]
25091	[0, 0, 1, 0]
7575	[0, 0, 0]
58511	[1645, 0, 1645]
42708	[0]
264268	[0]
50300	[0]
15301	[0]
50304	[1]
29075	[1]
28941	[0]
50620	[1]
2500	[0]
34019	[1]
28294	[25]
209	[0, 0, 2]
14840	[0]
1273	[0]
34781	[0, 0]
52769	[0, 0]
25160	[0]
3356	[3, 1]
38880	[0, 0]
7660	[0]
24482	[0, 1, 0, 0, 0, 28, 0, 0]
262607	[3]
45896	[0]
1280	[0]
49463	[1]
37271	[18]
34146	[0]
4589	[0, 5]
8763	[52]
680	[2]
57381	[0]
