8426	[70, 0]
204028	[0]
15605	[1]
20640	[0]
20912	[0]
28917	[0]
41811	[0]
49835	[2]
262757	[0]
52863	[0]
48526	[0, 1]
8781	[3]
42541	[0]
6082	[0]
12779	[151, 1, 0]
10102	[0]
11666	[6]
57821	[0]
1836	[0, 0]
262612	[0]
29691	[0]
3257	[11, 28, 4, 10]
13004	[3]
63956	[0]
1299	[0, 0]
53070	[0]
393406	[0]
38809	[6]
19151	[2345, 2229, 2104]
286	[8815]
1798	[0]
2914	[484, 208, 0, 0, 1, 5228, 218, 4766]
58621	[0]
59715	[0]
202194	[0]
38883	[0]
2857	[2273]
59469	[0]
41497	[0]
20764	[0, 0]
14061	[0, 0]
29686	[0]
4739	[0]
2497	[0, 215, 198, 202]
53828	[0]
56730	[0]
6720	[92]
200130	[0]
33437	[4, 0]
37100	[0]
20612	[0, 0]
8928	[0]
198290	[11]
50763	[2607]
57463	[0]
20932	[0]
57118	[0]
12637	[0]
701	[0]
12859	[16481, 29923]
3277	[8]
6453	[0]
15435	[2880]
197264	[0]
202109	[0, 0]
5769	[1]
9304	[0]
37989	[78]
53001	[2]
58308	[1]
30844	[1999]
5413	[2, 0]
1853	[1602]
6667	[0, 0, 0]
11039	[3507]
53364	[0]
52888	[0]
29636	[46]
196621	[0]
198249	[0]
8758	[0, 0]
22652	[0]
58901	[0]
31122	[1, 0]
1239	[0]
3741	[0]
48166	[0]
8455	[0]
18106	[0]
9002	[0, 0, 0, 0]
36236	[0]
6939	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
51185	[2]
29140	[13252]
28329	[0, 0]
133165	[0]
513	[0]
13030	[0, 0, 0, 0, 0, 0, 0]
13237	[14238]
8283	[13019]
22548	[0]
8218	[2, 0, 1]
6830	[4, 5, 0, 0]
40191	[0]
31019	[2790, 1405]
4181	[0]
262317	[0]
7018	[0]
10026	[0]
251	[0]
25220	[0]
59689	[1]
4826	[0]
24516	[0, 0, 0, 0]
6762	[24, 5678, 0]
202032	[0, 0]
34224	[0]
8596	[1598]
16735	[0]
35369	[34]
34288	[2, 1, 0, 0]
41695	[0]
20080	[0]
15547	[0, 0, 0, 1]
16347	[1]
6881	[0]
38726	[0, 0]
202018	[0]
1916	[0]
47872	[0, 0]
28571	[0]
51405	[1]
31424	[0]
2518	[0]
1103	[0]
13703	[0]
2516	[0]
25152	[0, 1743]
553	[2123]
32354	[0]
62567	[0, 0]
54073	[0]
9189	[2169]
25091	[2805, 0, 1598, 2796]
7575	[0, 0, 0]
58511	[0, 2856, 2856]
42708	[0]
50300	[1]
15301	[0]
50304	[1]
29075	[975]
28941	[0]
50620	[1]
2500	[6]
34019	[1047]
28294	[33]
209	[0, 0, 0]
14840	[4]
1273	[0]
34781	[0, 6544]
25160	[38]
3356	[17, 19]
38880	[0, 7899]
7660	[0]
24482	[2, 0, 1, 0, 28, 0, 0, 0]
45896	[0]
1280	[2]
49463	[1]
37271	[59]
29608	[2]
34146	[0]
4589	[0, 5]
8763	[2288]
680	[2292]
57381	[0]
