8426	[2, 0]
204028	[0]
39792	[0]
15605	[1]
28917	[0]
3491	[0, 0]
41811	[0]
7018	[3589]
262757	[10]
262750	[115]
52863	[1]
48526	[0, 1]
8781	[2]
58308	[1]
6082	[0]
12779	[0, 2]
20562	[0, 0]
52940	[0]
11666	[5]
57821	[0]
1836	[0, 0]
262612	[0]
3252	[2]
31019	[1]
29691	[0]
3257	[4, 0, 0, 0]
30132	[0]
13004	[0]
63956	[0]
28941	[1019]
53070	[445]
14061	[0, 0]
19151	[0, 0, 1]
286	[2856, 3989]
1798	[0]
2914	[5394, 2875, 5008, 2867, 0]
59715	[0]
202194	[0]
38883	[0]
38880	[0, 0, 1134, 0]
59469	[0]
41497	[0]
6830	[1409, 1721, 1446, 2193]
36351	[2]
39821	[0]
38809	[1074]
3561	[1046, 1140]
41095	[0, 1]
29686	[0]
14537	[0]
4739	[0]
49835	[0]
2497	[136, 2222, 1946]
53828	[0]
56730	[0]
19653	[1000]
6720	[0]
20764	[2, 7]
47441	[0]
26162	[5, 4, 6]
28138	[18, 9]
198290	[1]
50763	[1]
20612	[0, 0]
5392	[0]
57118	[0, 0]
5396	[0]
12859	[0]
6453	[2078, 1699]
15435	[0]
197264	[0]
202109	[0, 0]
5769	[1]
9304	[0]
53001	[0]
25227	[1]
22652	[0]
5413	[0, 0]
1853	[1101]
6667	[0]
11039	[4]
53013	[13]
52888	[16]
29636	[0]
10102	[0]
49605	[0]
198249	[0]
8758	[0, 0]
30844	[0, 0]
58901	[0]
34781	[0, 0]
35054	[0]
48166	[0, 0]
8455	[0]
52720	[16]
8283	[1112]
3267	[0]
36236	[0]
6939	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
28220	[532]
6423	[0]
263623	[18]
51185	[0]
18106	[0]
29140	[0]
28329	[0, 0]
133165	[4126]
513	[0]
13030	[0, 0, 0]
13237	[0, 0, 1]
6079	[1]
9002	[1621, 1080, 1619]
22548	[9]
8218	[0, 1, 1]
52752	[529]
49463	[1]
50304	[1]
20932	[0]
4181	[0]
45177	[0]
262317	[20]
12637	[0]
22873	[0]
10026	[0]
8468	[0]
251	[0]
25220	[0]
59689	[1]
4826	[426]
24516	[0, 0, 0, 410, 0, 0]
6762	[3271, 3184, 2343]
202032	[0, 0]
8596	[0]
6360	[0]
28929	[0]
16735	[10]
34288	[1, 0, 0, 0]
34177	[7]
41695	[0]
20080	[0]
15547	[1, 0, 0, 0]
16347	[1]
4608	[0]
196621	[0]
38726	[0, 0]
20640	[0]
1916	[16]
27446	[0]
47872	[1108]
2895	[0]
28571	[12]
51405	[1]
31424	[0]
2518	[0]
1103	[0]
37271	[1323]
19754	[0]
25152	[0, 0]
553	[0]
3549	[1217]
32354	[0]
52610	[2]
14361	[0, 0]
62567	[0]
54073	[0]
9189	[0]
25091	[0, 0, 1, 0]
7575	[0, 0]
25160	[0]
58511	[0, 0, 0, 0, 0, 0]
264268	[8]
50300	[1210]
15301	[0]
42541	[0]
29075	[1]
1299	[0]
7500	[578]
12350	[0]
50620	[1]
8928	[0]
34019	[1]
28294	[9]
209	[1584, 1527, 1568]
14840	[28]
31122	[1]
52769	[14, 19]
32614	[1075]
48285	[0]
24482	[0, 0, 1, 20, 0, 0, 0, 0]
45896	[0]
1280	[1544]
263584	[0]
4777	[583]
13703	[0]
29608	[0]
34146	[0]
4589	[5, 0]
680	[0]
57381	[0]
