8426	[105, 115]
204028	[0]
15605	[666]
20640	[432]
20912	[40]
28917	[456]
41811	[1367]
49835	[1645]
6720	[69]
262750	[2]
52863	[0]
48526	[0, 279]
8781	[25]
42541	[843]
6082	[213]
12779	[2, 301, 288]
10102	[0]
11666	[133]
57821	[811]
1836	[0, 2460]
262612	[0]
29691	[0]
3257	[56, 50, 48, 68]
13004	[653]
63956	[0]
1299	[0, 0]
53070	[42]
393406	[939]
38809	[19]
19151	[240, 137, 262]
286	[2584]
1798	[217]
2914	[20, 26, 361, 0, 364, 455, 12, 372]
58621	[98]
59715	[0]
202194	[0]
38883	[0]
2857	[834]
59469	[0]
41497	[2862]
20764	[301, 250]
14061	[519, 522]
29686	[1725]
4739	[116]
2497	[0, 200, 186, 66]
53828	[198]
56730	[369]
19653	[163]
262757	[0]
200130	[1072]
33437	[135, 129]
37100	[123]
26162	[2, 2, 2, 2]
43100	[296]
20612	[0, 0]
8928	[2548]
198290	[859]
29608	[64]
57463	[664]
20932	[37]
57118	[0]
5396	[635]
701	[38]
12859	[1015, 995]
3277	[15]
6453	[32]
15435	[570]
197264	[0]
202109	[1566, 2901]
5769	[297]
9304	[2694]
37989	[42]
53001	[2]
58308	[304]
30844	[318]
5413	[242, 199]
1853	[28]
6667	[4378, 4761, 4761]
11039	[145]
53364	[76]
52888	[4]
29636	[978]
196621	[0]
198249	[0]
8758	[4889, 0]
22652	[236]
58901	[0]
31122	[297, 191]
1239	[50]
3741	[847]
48166	[28]
8455	[2072]
18106	[2790]
9002	[39, 28, 30, 28]
36236	[0]
6939	[2099, 3099, 854, 5225, 3151, 2813, 2093, 705, 1542, 712, 616, 267]
51185	[846]
52720	[2]
29140	[1145]
30071	[10, 8]
28329	[0, 0]
133165	[2165]
513	[762]
13030	[2197, 3854, 2041, 2133, 2078, 2119, 1290]
13237	[2696]
8283	[3715]
22548	[3]
8218	[2129, 0, 82]
6830	[8598, 8685, 11051, 10978]
40191	[2028]
31019	[1496, 779]
4181	[5232]
262317	[0]
33891	[1986]
7018	[114]
10026	[302]
251	[1652]
25220	[1920]
59689	[1571]
4826	[559]
24516	[0, 0, 0, 0]
6762	[393, 2019, 1812]
202032	[0, 1995]
34224	[532]
8596	[375]
46450	[170]
16735	[210]
35369	[915]
34288	[57, 0, 0, 58]
32614	[257]
41695	[1456]
20080	[785]
15547	[0, 3448, 3448, 1767]
16347	[123]
6881	[292]
38726	[0, 0]
12637	[1139]
202018	[287]
1916	[424]
47872	[1333, 1333]
28571	[302]
50763	[277]
51405	[66]
31424	[0]
2518	[0]
1103	[965]
13703	[57]
2516	[628]
25152	[331, 250]
553	[271]
52610	[4]
32354	[200]
62567	[2666, 2528]
54073	[672]
5645	[806]
9189	[250]
25091	[28, 0, 21, 28]
7575	[288, 277, 0]
58511	[1889, 101, 110, 1889]
42708	[283]
264268	[2]
50300	[415]
15301	[846]
50304	[279]
29075	[312]
28941	[56]
50620	[783]
2500	[68]
34019	[296]
28294	[34]
209	[962, 882, 803]
14840	[6]
1273	[15]
34781	[0, 40]
52769	[2, 2]
25160	[711]
3356	[447, 444]
38880	[2068, 4214]
7660	[35]
24482	[3982, 37, 0, 0, 58, 35, 2050, 35]
262607	[6]
45896	[0]
1280	[17]
49463	[1740]
37271	[656]
34146	[0]
4589	[217, 150]
8763	[811]
680	[428]
57381	[1]
