8426	[5, 3]
204028	[0]
15605	[5]
20640	[0]
20912	[4]
28917	[28]
41811	[6]
49835	[16]
262757	[0]
52863	[0]
48526	[0, 4]
8781	[117]
42541	[11]
6082	[6]
12779	[4, 3]
10102	[0]
11666	[109]
57821	[15]
1836	[0, 6]
262612	[0]
29691	[0]
3257	[32, 52, 57, 44]
13004	[23]
63956	[0]
1299	[0, 0]
53070	[2778]
393406	[2743]
38809	[877]
19151	[2891, 2698, 1139]
286	[203]
1798	[4]
2914	[3806, 1904, 1962, 0, 1934, 1958, 1909, 1961]
58621	[6]
59715	[0]
202194	[0]
38883	[0]
38880	[6, 10]
59469	[0]
41497	[14]
20764	[1172, 1148]
14061	[17, 20]
29686	[15]
4739	[149]
2497	[0, 4, 34, 52]
53828	[1095]
56730	[15]
19653	[4]
6720	[41]
200130	[33]
33437	[15, 10]
37100	[17]
20612	[0, 0]
8928	[149]
198290	[83]
29608	[34]
57463	[10]
20932	[5]
57118	[0]
12637	[172]
701	[2]
12859	[21, 16]
3277	[12]
6453	[8]
15435	[3]
197264	[0]
202109	[1854, 1850]
5769	[175]
9304	[351]
37989	[14]
53001	[4]
58308	[5]
30844	[2]
5413	[13, 23]
1853	[0]
6667	[12, 13, 13]
11039	[121]
53364	[75]
52888	[22]
29636	[8]
196621	[0]
198249	[0]
8758	[15, 0]
22652	[432]
58901	[0]
31122	[5, 3]
1239	[86]
3741	[4]
48166	[14]
8455	[12]
18106	[4]
9002	[6, 6, 6, 8]
36236	[0]
6939	[12, 16, 12, 10, 10, 11, 7, 10, 20, 10, 10, 12]
51185	[3]
29140	[114]
30071	[21, 18]
28329	[0, 0]
133165	[10]
513	[0]
13030	[240, 469, 88, 90, 92, 95, 66]
13237	[96]
8283	[8332]
22548	[5]
8218	[53, 0, 48]
6830	[7973, 7973, 8371, 8409]
40191	[274]
31019	[850, 586]
4181	[364]
262317	[0]
7018	[100]
10026	[30]
251	[172]
25220	[18]
59689	[11]
4826	[4]
24516	[0, 0, 0, 0]
6762	[231, 222, 211]
202032	[0, 9]
34224	[3]
8596	[60]
46450	[13]
16735	[14]
35369	[77]
34288	[43, 0, 41, 0]
41695	[1845]
20080	[14]
15547	[0, 22, 22, 23]
16347	[49]
6881	[4]
38726	[0, 0]
202018	[21]
1916	[38]
47872	[13, 13]
28571	[8]
50763	[5]
51405	[7]
31424	[0]
2518	[0]
1103	[233]
13703	[12]
2516	[3]
25152	[10, 40]
553	[5]
32354	[3]
62567	[37, 33]
54073	[12]
5645	[7]
9189	[3]
25091	[4, 5, 3, 0]
7575	[15, 14, 0]
58511	[0, 0, 0]
42708	[4]
50300	[6]
15301	[12]
50304	[16]
29075	[6]
28941	[2]
50620	[7]
2500	[28]
34019	[5]
28294	[37]
209	[20, 20, 17]
14840	[30]
1273	[10]
34781	[0, 13]
25160	[2]
3356	[81, 82]
2857	[4]
7660	[2]
24482	[1835, 1809, 0, 1821, 0, 1700, 1809, 6]
45896	[0]
1280	[52]
49463	[16]
37271	[74]
34146	[0]
4589	[2, 7]
8763	[130]
680	[104]
57381	[0]
